"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.474722390E-1,-1.400625038E1,-4.396875000E1,-7.481250286E0,4.674820994E1
6.574722390E-1,-1.404375076E1,-4.410000229E1,-7.256250381E0,4.684752189E1
6.674722390E-1,-1.408125019E1,-4.413750076E1,-7.462500095E0,4.692642633E1
6.774722390E-1,-1.402500057E1,-4.417500305E1,-7.406250477E0,4.693595724E1
6.874722390E-1,-1.404375076E1,-4.426875305E1,-7.312500477E0,4.701512624E1
6.974722390E-1,-1.396875095E1,-4.410000229E1,-7.312500477E0,4.683384319E1
7.074722390E-1,-1.415625095E1,-4.413750076E1,-7.500000477E0,4.695496163E1
7.174722390E-1,-1.402500057E1,-4.408125305E1,-7.593750477E0,4.687774054E1
7.274722390E-1,-1.398750019E1,-4.417500305E1,-7.762500286E0,4.698231015E1
7.374722390E-1,-1.408125019E1,-4.426875305E1,-8.118750572E0,4.715843736E1
7.474722390E-1,-1.410000038E1,-4.430625153E1,-7.912500381E0,4.716419826E1
7.574722390E-1,-1.417500019E1,-4.415625000E1,-7.931250095E0,4.704901458E1
7.674722390E-1,-1.415625095E1,-4.398750305E1,-8.306250572E0,4.694990590E1
7.774722390E-1,-1.408125019E1,-4.393125153E1,-8.400000572E0,4.689132625E1
7.874722390E-1,-1.393125057E1,-4.383750153E1,-8.550000191E0,4.678577546E1
7.974722390E-1,-1.398750019E1,-4.370625305E1,-8.662500381E0,4.670038148E1
8.074722390E-1,-1.396875095E1,-4.368750000E1,-8.868750572E0,4.671593300E1
8.174722390E-1,-1.393125057E1,-4.368750000E1,-8.925000191E0,4.671544741E1
8.274722390E-1,-1.378125095E1,-4.340625000E1,-9.262500763E0,4.647385649E1
8.374722390E-1,-1.372500038E1,-4.357500076E1,-9.281250000E0,4.661864357E1
8.474722390E-1,-1.365000057E1,-4.351875305E1,-9.318750381E0,4.655151438E1
8.574722390E-1,-1.383750057E1,-4.363125229E1,-9.637500763E0,4.677653278E1
8.674722390E-1,-1.395000076E1,-4.361250305E1,-9.656250000E0,4.679632579E1
8.774722390E-1,-1.395000076E1,-4.372500229E1,-9.525000572E0,4.687434247E1
8.874722390E-1,-1.396875095E1,-4.361250305E1,-9.337500572E0,4.673719442E1
8.974722390E-1,-1.396875095E1,-4.368750000E1,-9.243750572E0,4.678857322E1
9.074722390E-1,-1.417500019E1,-4.387500000E1,-9.168750763E0,4.701076734E1
9.174722390E-1,-1.425000095E1,-4.381875229E1,-9.168750763E0,4.698097030E1
9.274722390E-1,-1.436250019E1,-4.400625229E1,-8.831250191E0,4.712560485E1
9.374722390E-1,-1.440000057E1,-4.385625076E1,-8.606250763E0,4.695527978E1
9.474722390E-1,-1.449375057E1,-4.395000076E1,-8.568750381E0,4.706479423E1
9.574722390E-1,-1.470000076E1,-4.385625076E1,-8.793750763E0,4.708280797E1
9.674722390E-1,-1.462500095E1,-4.391250229E1,-8.981250763E0,4.714723084E1
9.774722390E-1,-1.458750057E1,-4.374375153E1,-8.681250572E0,4.692201063E1
9.874722390E-1,-1.441875076E1,-4.370625305E1,-8.812500000E0,4.685933296E1
9.974722390E-1,-1.425000095E1,-4.357500076E1,-9.037500381E0,4.672814603E1
1.007472239E0,-1.406250095E1,-4.327500153E1,-9.318750381E0,4.644694607E1
1.017472239E0,-1.398750019E1,-4.346250153E1,-9.506250381E0,4.663698100E1
1.027472239E0,-1.380000019E1,-4.333125305E1,-9.506250381E0,4.645865143E1
1.037472239E0,-1.372500038E1,-4.331250000E1,-9.525000572E0,4.642277380E1
1.047472239E0,-1.389375019E1,-4.348125076E1,-9.600000381E0,4.664563720E1
1.057472239E0,-1.374375057E1,-4.335000229E1,-1.003125000E1,4.656972573E1
1.067472239E0,-1.376250076E1,-4.338750076E1,-9.937500000E0,4.659008002E1
1.077472239E0,-1.376250076E1,-4.321875000E1,-9.862500191E0,4.641697630E1
1.087472239E0,-1.395000076E1,-4.348125076E1,-9.937500000E0,4.673302468E1
1.097472239E0,-1.393125057E1,-4.333125305E1,-9.843750000E0,4.656797878E1
1.107472239E0,-1.411875057E1,-4.357500076E1,-9.843750000E0,4.685103225E1
1.117472239E0,-1.389375019E1,-4.359375000E1,-9.637500763E0,4.675823729E1
1.127472239E0,-1.363125038E1,-4.335000229E1,-9.225000381E0,4.636954084E1
1.137472239E0,-1.380000019E1,-4.365000153E1,-9.056250572E0,4.666667240E1
1.147472239E0,-1.376250076E1,-4.340625000E1,-9.206250191E0,4.645712011E1
1.157472239E0,-1.383750057E1,-4.378125000E1,-9.093750000E0,4.680780451E1
1.167472239E0,-1.374375057E1,-4.376250076E1,-9.000000000E0,4.674448794E1
1.177472239E0,-1.374375057E1,-4.383750153E1,-8.887500763E0,4.679321414E1
1.187472239E0,-1.370625019E1,-4.366875076E1,-9.000000000E0,4.664569742E1
1.197472239E0,-1.378125095E1,-4.381875229E1,-8.943750381E0,4.679739951E1
1.207472239E0,-1.398750019E1,-4.404375076E1,-9.187500000E0,4.711594527E1
1.217472239E0,-1.370625019E1,-4.368750000E1,-9.337500572E0,4.672951816E1
1.227472239E0,-1.372500038E1,-4.395000076E1,-9.075000763E0,4.692902984E1
1.237472239E0,-1.372500038E1,-4.374375153E1,-9.075000763E0,4.673592913E1
1.247472239E0,-1.374375057E1,-4.359375000E1,-9.037500381E0,4.659379929E1
1.257472239E0,-1.370625019E1,-4.359375000E1,-9.000000000E0,4.657549069E1
1.267472239E0,-1.370625019E1,-4.378125000E1,-8.793750763E0,4.671176724E1
1.277472239E0,-1.380000019E1,-4.385625076E1,-8.831250191E0,4.681668203E1
1.287472239E0,-1.383750057E1,-4.372500229E1,-8.737500191E0,4.668721620E1
1.297472239E0,-1.400625038E1,-4.398750305E1,-8.400000572E0,4.692158868E1
1.307472239E0,-1.411875057E1,-4.411875153E1,-8.587500572E0,4.711208465E1
1.317472239E0,-1.411875057E1,-4.432500076E1,-8.681250572E0,4.732239345E1
1.327472239E0,-1.419375038E1,-4.456875229E1,-8.512500763E0,4.754260089E1
1.337472239E0,-1.417500019E1,-4.462500000E1,-8.493750572E0,4.758639568E1
1.347472239E0,-1.404375076E1,-4.458750153E1,-8.568750381E0,4.752573735E1
1.357472239E0,-1.395000076E1,-4.432500076E1,-8.643750191E0,4.726544860E1
1.367472239E0,-1.383750057E1,-4.432500076E1,-8.568750381E0,4.721869966E1
1.377472239E0,-1.398750019E1,-4.436250305E1,-8.531250000E0,4.729126838E1
1.387472239E0,-1.395000076E1,-4.428750229E1,-8.268750191E0,4.716309585E1
1.397472239E0,-1.395000076E1,-4.428750229E1,-8.043750763E0,4.712416903E1
1.407472239E0,-1.395000076E1,-4.436250305E1,-7.762500286E0,4.714754086E1
1.417472239E0,-1.398750019E1,-4.455000305E1,-7.537500381E0,4.729869814E1
1.427472239E0,-1.398750019E1,-4.445625305E1,-7.518750191E0,4.720741681E1
1.437472239E0,-1.408125019E1,-4.456875229E1,-7.500000477E0,4.733820122E1
1.447472239E0,-1.406250095E1,-4.441875076E1,-7.781250477E0,4.723692635E1
1.457472239E0,-1.404375076E1,-4.425000000E1,-8.118750572E0,4.712964615E1
1.467472239E0,-1.393125057E1,-4.411875153E1,-8.418750763E0,4.702573065E1
1.477472239E0,-1.396875095E1,-4.404375076E1,-8.662500381E0,4.701081681E1
1.487472239E0,-1.385625076E1,-4.389375305E1,-9.112500191E0,4.692222183E1
1.497472239E0,-1.389375019E1,-4.363125229E1,-9.600000381E0,4.678549431E1
1.507472239E0,-1.391250038E1,-4.342500305E1,-9.675000191E0,4.661431310E1
1.517472239E0,-1.396875095E1,-4.333125305E1,-9.637500763E0,4.653606037E1
1.527472239E0,-1.396875095E1,-4.331250000E1,-9.562500000E0,4.650311888E1
1.537472239E0,-1.395000076E1,-4.336875153E1,-9.225000381E0,4.648173579E1
1.547472239E0,-1.410000038E1,-4.329375076E1,-9.075000763E0,4.642751883E1
1.557472239E0,-1.411875057E1,-4.338750076E1,-9.037500381E0,4.651333952E1
1.567472239E0,-1.410000038E1,-4.340625000E1,-9.131250381E0,4.654344512E1
1.577472239E0,-1.423125076E1,-4.333125305E1,-9.112500191E0,4.650982315E1
1.587472239E0,-1.408125019E1,-4.338750076E1,-9.037500381E0,4.650197031E1
1.597472239E0,-1.411875057E1,-4.359375000E1,-9.112500191E0,4.672035762E1
1.607472239E0,-1.417500019E1,-4.374375153E1,-8.962500572E0,4.684840280E1
1.617472239E0,-1.441875076E1,-4.395000076E1,-9.243750572E0,4.716937423E1
1.627472239E0,-1.425000095E1,-4.387500000E1,-9.412500381E0,4.708156025E1
1.637472239E0,-1.432500076E1,-4.391250229E1,-9.468750000E0,4.715051146E1
1.647472239E0,-1.430625057E1,-4.378125000E1,-9.318750381E0,4.699261395E1
1.657472239E0,-1.415625095E1,-4.370625305E1,-9.300000191E0,4.687351065E1
1.667472239E0,-1.419375038E1,-4.378125000E1,-9.412500381E0,4.697718132E1
1.677472239E0,-1.417500019E1,-4.381875229E1,-9.375000000E0,4.699898198E1
1.687472239E0,-1.411875057E1,-4.383750153E1,-9.393750191E0,4.700327861E1
1.697472239E0,-1.398750019E1,-4.368750000E1,-9.487500191E0,4.684293413E1
1.707472239E0,-1.408125019E1,-4.378125000E1,-9.375000000E0,4.693580812E1
1.717472239E0,-1.365000057E1,-4.357500076E1,-9.112500191E0,4.656329957E1
1.727472239E0,-1.381875038E1,-4.370625305E1,-9.150000572E0,4.674309498E1
1.737472239E0,-1.374375057E1,-4.368750000E1,-8.925000191E0,4.665987532E1
1.747472239E0,-1.389375019E1,-4.389375305E1,-8.756250381E0,4.686544326E1
1.757472239E0,-1.393125057E1,-4.378125000E1,-8.887500763E0,4.679599624E1
1.767472239E0,-1.402500057E1,-4.387500000E1,-8.850000381E0,4.690457092E1
